 
			  NEXSTAR ALIGNMENT STAR CHOICES
				by Jean C. Piquette
 
 MONTH:   2. DAY:   3.
 LOCAL TIME:  20.00 hours    .00 min.
 DAYLIGHT SAVING NOT IN EFFECT
 TIME ZONE NUMBER:   5.
 LATITUDE:  38.00 deg  51.00 min  58.00 sec.
 LONGITUDE:  77.00 deg   4.00 min.  48.00 sec.
 
 STAR 1		    STAR 2		   SEP.    ZEN. DIST.  MID. DIST.    HORIZ. PENALTY
 
Sirius              Caph                  107.71       6.38       8.76           .00
Procyon             Alpheratz             106.96      11.82      12.57           .00
Sirius              Navi                  101.92       4.51      10.07           .00
Pollux              Algenib               102.15       2.19      14.33           .66
Procyon             Scheat                120.56       8.39      13.48         34.73
Rigel               Polaris                97.24       3.61       4.04           .00
Castor              Algenib                98.43        .18      16.05           .66
Procyon             Algenib               109.19      22.57      24.02           .66
Procyon             Caph                   96.74      10.32      10.37           .00
Sirius              Polaris               104.97      20.69      21.33           .00
Pollux              Alpheratz              95.07       5.12      12.01           .00
Procyon             Mirach                 92.93       9.09       9.61           .00
Castor              Alpheratz              90.90       6.59      14.44           .00
Procyon             Navi                   90.59      10.13      10.94           .00
Pollux              Scheat                106.47      10.22      20.21         34.73
Rigel               Caph                   89.81      17.60      17.61           .00
Rigel               Dubhe                  95.59      23.96      24.70           .00
Castor              Scheat                102.09      11.27      22.54         34.73
Sirius              Alpheratz             105.25      32.77      32.78           .00
Sirius              Mirach                 94.02      25.16      26.80           .00
Betelgeuse          Caph                   81.87       5.52       8.90           .00
Rigel               Navi                   84.80      15.08      15.29           .00
Pollux              Mirach                 80.66       4.31       5.60           .00
Betelgeuse          Polaris                82.13      11.52      14.28           .00
Dubhe               Hamal                  87.22      21.74      24.26           .00
Sirius              Scheat                119.25      34.88      35.51         34.73
Castor              Mirach                 76.53       5.61       7.87           .00
Betelgeuse          Navi                   76.05       4.37       5.88           .00
Aldebaran           Dubhe                  78.73       7.36      19.24           .00
Procyon             Hamal                  81.53      18.99      20.08           .00
Betelgeuse          Scheat                 97.69      20.75      29.09         34.73
Betelgeuse          Alpheratz              83.54      21.30      25.40           .00
Pollux              Hamal                  74.69       5.74       5.79           .00
Pollux              Caph                   77.36      19.10      20.12           .00
Aldebaran           Polaris                72.86       3.70      14.48           .00
Dubhe               Algenib               101.84      40.36      40.70           .66
Regulus             Algenib               138.87       3.07       5.21         68.67
Castor              Hamal                  71.29       3.81       4.66           .00
Procyon             Polaris                84.59      30.43      30.44           .00
Betelgeuse          Algenib                83.75      27.19      33.33           .66
Sirius              Algenib               101.46      43.40      43.56           .66
Castor              Caph                   72.85      19.00      20.83           .00
Pollux              Navi                   71.41      18.23      18.47           .00
Betelgeuse          Dubhe                  77.40      25.41      29.15           .00
